丽江古城,丽江 2492.00
大理古城,大理 1549.00
束河古镇,丽江 1241.00
双廊,大理 1090.00
洱海,大理 1044.00
泸沽湖,丽江 1013.00
丽江,丽江 817.00
玉龙雪山,丽江 817.00
昆明,昆明及滇中 756.00
香格里拉,香格里拉及滇藏线 679.00
大理,大理 625.00
拉市海,丽江 596.00
普达措国家森林公园,香格里拉及滇藏线 562.00
虎跳峡,丽江 535.00
昆明长水机场,昆明及滇中 517.00
独克宗古城,香格里拉及滇藏线 477.00
蓝月谷,丽江 423.00
松赞林寺,香格里拉及滇藏线 413.00
四方街,丽江 395.00
喜洲镇,大理 379.00
崇圣寺三塔,大理 379.00
里格半岛,丽江 375.00
木府,丽江 348.00
丽江茶马古道,丽江 345.00
昆明石林,昆明及滇中 337.00
翠湖公园,昆明及滇中 304.00
大理洋人街,大理 287.00
才村码头,大理 254.00
和顺古镇,怒江-腾冲及滇西 243.00
飞来寺,香格里拉及滇藏线 231.00
苍山,大理 222.00
云南大学,昆明及滇中 215.00
黑龙潭,昆明及滇中 210.00
南诏风情岛,大理 210.00
纳帕海,香格里拉及滇藏线 207.00
长江第一湾,丽江 206.00
云南民族村,昆明及滇中 204.00
滇池,昆明及滇中 204.00
玉几岛,大理 200.00
梅里雪山,香格里拉及滇藏线 199.00
金马碧鸡坊,昆明及滇中 196.00
丽江三义机场,丽江 168.00
天龙八部影视城,大理 167.00
印象丽江,丽江 165.00
西双版纳,西双版纳及滇南 165.00
雨崩,香格里拉及滇藏线 160.00
泸沽湖走婚桥,丽江 159.00
大水车,丽江 154.00
玉水寨,丽江 153.00
依拉草原,香格里拉及滇藏线 145.00
蝴蝶泉,大理 143.00
属都湖,香格里拉及滇藏线 134.00
碧塔海,香格里拉及滇藏线 133.00
洱海公园,大理 130.00
白沙古镇,丽江 130.00
泸沽湖草海,丽江 129.00
大落水,丽江 127.00
腾冲热海,怒江-腾冲及滇西 126.00
白马雪山,香格里拉及滇藏线 124.00
野象谷热带雨林,西双版纳及滇南 123.00
人民路,大理 119.00
小普陀岛,大理 118.00
金沙江月亮湾,香格里拉及滇藏线 115.00
海舌生态公园,大理 112.00
挖色镇,大理 106.00
景洪,西双版纳及滇南 104.00
泸沽湖观景台,丽江 102.00
丽江站,丽江 100.00
腾冲火山地热国家地质公园,怒江-腾冲及滇西 98.00
曼听公园,西双版纳及滇南 97.00
昆明火车站 96.00
万古楼,丽江 95.00
迪庆,香格里拉及滇藏线 95.00
西双版纳原始森林公园,西双版纳及滇南 95.00
龟山公园,香格里拉及滇藏线 95.00
南屏街,昆明及滇中 94.00
云南陆军讲武堂旧址,昆明及滇中 93.00
德钦县,香格里拉及滇藏线 92.00
腾冲,怒江-腾冲及滇西 91.00
苍山国家地质公园,大理 91.00
七彩云南,昆明及滇中 91.00
上虎跳峡谷,香格里拉及滇藏线 91.00
普者黑,红河-文山及滇东南 87.00
沙溪古镇,大理 87.00
石卡雪山,香格里拉及滇藏线 85.00
泸沽湖女神湾,丽江 82.00
上海虹桥机场,上海 80.00
成都,成都 78.00
五华楼,大理 78.00
小落水,丽江 78.00
告庄西双景‎,西双版纳及滇南 77.00
海埂公园,昆明及滇中 75.00
抚仙湖,昆明及滇中 73.00
国殇墓园,云南 73.00
西双版纳傣族园,西双版纳及滇南 73.00
西双版纳植物园,西双版纳及滇南 72.00
大理龙龛村,大理 72.00
落水村,丽江 72.00
九乡,昆明及滇中 72.00
西昌,四川 69.00
狮子山,丽江 68.00
楚雄,昆明及滇中 68.00
昆明西山森林公园,昆明及滇中 68.00
忠义市场,丽江 64.00
大理火车站,大理 63.00
拉萨,拉萨 63.00
东巴谷,丽江 61.00
北海湿地,怒江-腾冲及滇西 60.00
里务比岛,丽江 60.00
布达拉宫,拉萨 60.00
桃源码头,大理 58.00
西双版纳热带花卉园,西双版纳及滇南 57.00
昆明站,昆明及滇中 56.00
基诺山寨,西双版纳及滇南 56.00
中虎跳峡谷,香格里拉及滇藏线 56.00
巴拉格宗大峡谷,香格里拉及滇藏线 55.00
建水古城,红河-文山及滇东南 54.00
大理机场,大理 53.00
元阳梯田,红河-文山及滇东南 51.00
稻城,四川西部 51.00
广州白云国际机场,广州 49.00
格姆女神山,丽江 48.00
丽江火车站 48.00
望天树风景区,西双版纳及滇南 48.00
观音峡,丽江 48.00
尼赛村,丽江 48.00
芒康县,西藏 47.00
普洱,西双版纳及滇南 47.00
锦里,成都 46.00
明永冰川,香格里拉及滇藏线 46.00
勐泐大佛寺,西双版纳及滇南 46.00
奔子栏镇,香格里拉及滇藏线 46.00
海地生活,大理 46.00
宽窄巷子,成都 46.00
苍山索道,大理 46.00
宁蒗县,丽江 46.00
昆明大观公园,昆明及滇中 45.00
叠水河瀑布,怒江-腾冲及滇西 45.00
和顺图书馆,怒江-腾冲及滇西 44.00
瑞丽,西双版纳及滇南 44.00
严家大院,大理 43.00
官渡古镇,昆明及滇中 43.00
洛洼码头,四川 43.00
昌都盐井盐田,昌都 42.00
然乌湖,昌都 42.00
东川红土地,昆明及滇中 42.00
澜沧江·湄公河之夜,西双版纳及滇南 41.00
三塔倒影公园,大理 41.00
世界园艺博览园,昆明及滇中 40.00
深圳宝安国际机场,深圳 40.00
坝美,红河-文山及滇东南 40.00
昆明机场 39.00
上关花公园,大理 39.00
猪槽船与湖心岛,丽江 39.00
首都国际机场,北京 38.00
大昭寺,拉萨 38.00
九鼎龙潭,丽江 38.00
云杉坪,丽江 38.00
多依树梯田,红河-文山及滇东南 38.00
贵阳,贵阳 38.00
重庆,重庆 38.00
腾冲驼峰机场,怒江-腾冲及滇西 37.00
亚丁自然保护区,四川 37.00
X-喜洲白族古建筑,大理 36.00
黑鱼河,怒江-腾冲及滇西 36.00
泸沽湖大嘴村,四川 36.00
丽江机场 35.00
芒市,西双版纳及滇南 35.00
通麦天险,林芝 35.00
雾浓顶,香格里拉及滇藏线 35.00
摩梭人家,丽江 35.00
波密,林芝 35.00
林芝,林芝 34.00
藏民家访,丽江 34.00
一寨两国,西双版纳及滇南 33.00
澜沧江,西双版纳及滇南 33.00
张家花园,大理 33.00
白水台,香格里拉及滇藏线 33.00
西当村,香格里拉及滇藏线 33.00
西双版纳总佛寺,西双版纳及滇南 33.00
清溪水库,丽江 33.00
上海浦东国际机场,上海 33.00
哈巴雪山,丽江 32.00
环海西路 32.00
周城,大理 31.00
腾冲银杏村,怒江-腾冲及滇西 31.00
雨崩神瀑,香格里拉及滇藏线 31.00
